Country.ID,Year,gdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm,rr,inv,popgrowth,logoil
AUS,1990,1.494,7.233,14.54333333,6.942,22.988,27.778747047377077,38.55423980126936,10.57262929793701,23.09438385341654,7.31033333,26.394,1.5230925745739476,3.2
AUS,1991,-0.982,3.307,10.22583333,9.608,18.349,27.43130118564639,38.911806573920046,10.63613453259393,23.020757707839635,6.91883333,22.759,1.3248309704759542,3.1
AUS,1992,2.591,0.969,6.465833333,10.742,19.263,27.088821863063,39.25412075822903,10.667750433301041,22.989306945406938,5.496833333,22.723,1.130028379504222,3.0
AUS,1993,3.921,1.752,5.151666667,10.883,21.103,26.804648514005407,39.52262187628206,10.685065788571643,22.987663821140895,3.399666667,23.918,0.9893421035274574,2.9
AUS,1994,4.875,1.927,5.656666667,9.717,21.604,26.578115236466726,39.735939233968935,10.701048840326743,22.984896689237594,3.7296666669999996,25.881,0.9847281860186463,2.8
AUS,1995,2.951,4.626,7.725833333,8.483,20.589,26.397687537808416,39.93398136189118,10.715852909017567,22.952478191282847,3.0998333329999994,25.193,1.1058065951187857,2.9
AUS,1996,3.973,2.653,7.151666667,8.525,21.425,26.208655604392327,40.138956966442656,10.708692000940164,22.943695428224842,4.498666667,24.783,1.1603150191476175,3.1
AUS,1997,4.713,0.225,5.395833333,8.367,21.759,26.017607486660637,40.291536098860234,10.74290678218554,22.94794963229359,5.170833333,24.756,1.0904214529037448,3.0
AUS,1998,4.671,0.859,5.001666667,7.692,21.535,25.850265513054225,40.387056439791074,10.807128030009224,22.955550017145484,4.142666667,26.29,1.0635256989191433,2.7
AUS,1999,4.437,1.408,5.011666667,6.867,20.557,25.723828067304773,40.439800018836614,10.88729544466491,22.949076469193702,3.603666667,26.295,1.1136089803946758,3.0
AUS,2000,3.099,4.457,6.1775,6.292,21.209,25.616322638095205,40.47746629277525,10.980526247759634,22.92568482136991,1.7205000000000004,24.947,1.1765744238452447,3.4
AUS,2001,2.601,4.407,4.899166667,6.775,21.139,25.428731699415135,40.36863260429033,11.044847280202823,23.157788416091705,0.4921666670000002,23.457,1.2176263066072446,3.3
AUS,2002,4.159,3.049,4.746666667,6.358,21.466,25.187420692301828,40.321173053511906,11.103404352715222,23.388001901471036,1.6976666670000005,25.218,1.1872804496547928,3.3
AUS,2003,3.016,2.731,4.895833333,5.942,21.464,24.92017628436746,40.28701193567159,11.17299923668434,23.61981254327661,2.164833333,26.75,1.1436358259393709,3.4
AUS,2004,4.113,2.342,5.478333333,5.383,21.008,24.65770012655963,40.210230353888576,11.289344862492669,23.842724657059122,3.136333333,27.215,1.14646192709289,3.7
AUS,2005,3.029,2.659,5.644166667,5.033,21.703,24.409785611759645,40.113136619841136,11.440849215723086,24.03622855267612,2.9851666670000006,27.832,1.2361799414436714,4.0
AUS,2006,2.62,3.554,5.988333333,4.792,21.151,24.126692623384034,39.64982350285332,11.556742787878107,24.666741085884528,2.434333333,27.086,1.458866421378402,4.2
AUS,2007,4.339,2.356,6.6675,4.375,21.25,23.89387440154103,39.17771599803259,11.730968577060965,25.197441023365403,4.3115000000000006,28.195,1.7677470104685566,4.3
AUS,2008,2.594,4.348,6.973333333,4.25,24.009,23.6674834668217,38.80708292146471,11.878035085463369,25.647398526250225,2.6253333330000004,28.335,1.985440058515242,4.6
AUS,2009,1.965,1.77,3.434166667,5.575,22.158,23.40351845757228,38.5123319269315,11.999647339846636,26.08450227564959,1.664166667,26.932,1.9298602843810242,4.1
AUS,2010,2.419,2.863,4.683333333,5.208,23.039,23.10860780692688,38.16354031276132,12.158023226932697,26.56982865337911,1.8203333330000002,26.309,1.6460970432416122,4.4
AUS,2011,2.785,3.356,4.848333333,5.083,23.829,22.87546116453568,37.88071989154695,12.320373313344996,26.923445630572367,1.4923333330000004,26.841,1.5274180630420853,4.6
AUS,2012,3.789,1.686,3.728333333,5.233,23.776,22.715646819685286,37.60814372288826,12.451000855743436,27.225208601683025,2.042333333,28.449,1.658686530447917,4.5
AUS,2013,2.219,2.45,2.7775,5.658,23.806,22.593406717312916,37.31787465634815,12.584175674835599,27.504542951503343,0.3274999999999997,27.087,1.6786963469084704,4.6
AUS,2014,2.575,2.513,2.6775,6.058,23.228,22.462019137847335,37.00103500226663,12.733542424571898,27.803403435314138,0.1645000000000003,26.448,1.5464185614468606,4.5
AUS,2015,2.34,1.485,2.255833333,6.058,21.586,22.332253438094753,36.678709146591856,12.887611667979652,28.101425747333742,0.7708333329999999,25.915,1.49350511337909,3.9
AUS,2016,2.694,1.277,1.986666667,5.717,20.762,22.142154922307114,36.308397180875275,13.103222968320996,28.446224928496605,0.709666667,24.739,1.594959779943217,3.8
AUS,2017,2.38,1.995,1.74,5.6,21.806,21.934417351701587,35.98726232220293,13.320199230614596,28.75812109548089,-0.2550000000000001,24.371,1.648483805750156,3.9
AUS,2018,2.791,1.933,1.948333333,5.283,21.697,21.696686690853124,35.66514066018808,13.563755355332486,29.074417293626315,0.015333332999999838,24.296,1.5715757346785209,4.2
AUS,2019,1.936,1.566,1.344166667,5.175,22.843,21.42851777875779,35.28018404946977,13.880639636735708,29.410658535036728,-0.22183333299999997,22.699,1.445114473973419,4.0
AUS,2020,-1.955,0.869,0.256666667,6.475,24.282,21.147419585561426,34.71023362487677,14.28714791850198,29.855198871059823,-0.612333333,22.478,1.0245258805636093,3.7
AUS,2021,5.412,2.842,0.028333333,5.125,25.902,21.019603340869363,34.52848799338352,14.841273839118973,29.610634826628136,-2.813666667,23.49,0.8259331347119536,4.2
AUS,2022,4.142,6.615,1.636666667,3.708,24.453,20.93612932750676,34.45655639390191,15.273073040442437,29.334241238148902,-4.978333333,23.928,0.9422217068283834,4.6
AUS,2023,2.056,5.616,3.979166667,3.7,23.602,20.870381538417796,34.41242232277161,15.660359083417399,29.056837055393185,-1.6368333329999998,23.981,0.9546950420889821,4.4
AUS,2024,1.038,3.198,4.390833333,4.025,22.744,20.81527282106359,34.336813946510716,16.076150353355207,28.771762879070483,1.1928333329999998,24.667,0.9908123375021782,4.3
AUT,1990,4.346,2.777,8.964166667,2.723,25.873,22.767005079480125,48.78683196033868,18.117025122777815,10.329137837403378,6.1871666670000005,26.896,0.7770976522053052,3.2
AUT,1991,3.442,3.116,9.463333333,3.151,25.402,22.56008400003094,48.94222226232864,18.00968140319757,10.48801233444285,6.347333333,27.165,1.0093657574012704,3.1
AUT,1992,2.094,3.426,9.46,3.29,24.36,22.448103411166958,49.06659074054995,17.852496687370394,10.632809160912705,6.034000000000001,26.482,1.103138527859504,3.0
AUT,1993,0.527,3.234,7.023333333,3.958,23.053,22.372202424901793,49.10678229282584,17.718209261073877,10.802806021198496,3.789333333,25.545,0.8260344125858632,2.9
AUT,1994,2.402,2.711,5.1175,3.85,22.981,22.283606203204652,49.06532185375569,17.6338746219997,11.017197321039964,2.4065,26.377,0.3877270622537843,2.8
AUT,1995,2.668,1.611,4.568333333,4.242,24.111,22.20341026460376,48.97190006718596,17.568629142859194,11.256060525351081,2.9573333330000002,26.96,0.15326609268777602,2.9
AUT,1996,2.398,1.771,3.373333333,4.717,23.638,22.10402460672075,48.905324884471504,17.49418487034373,11.496465638464024,1.6023333330000002,26.492,0.13323989476399234,3.1
AUT,1997,2.146,1.167,3.4975,4.758,23.825,22.005391977355522,48.81443689295477,17.441430017691154,11.738741111998559,2.3305,26.383,0.11165802622301602,3.0
AUT,1998,3.493,0.817,3.600833333,4.708,24.388,21.887266417333002,48.68105025960192,17.450865708449825,11.98081761461524,2.7838333330000005,26.25,0.10868523922828999,2.7
