"effect","variable","mean","lower","upper"
"young","gdp_p",0.0153984712572348,-0.0350421384605315,0.064305055482713
"mid","gdp_p",0.0536755235898643,-0.0177650345500165,0.127263903946808
"old","gdp_p",-0.114461771586269,-0.171810465013331,-0.0570171846316328
"popgrowth","gdp_p",-0.0812728287193909,-0.287844650658224,0.115881241447824
"immigrant","gdp_p",0.0453877767391699,-0.00784338145940533,0.0979903417879658
"young","cpi",0.872690551033505,0.495156869203905,1.25793952913392
"mid","cpi",-0.309126395257274,-0.821680983391867,0.193387044081213
"old","cpi",-0.0210605385884744,-0.457213133057592,0.423333628675045
"popgrowth","cpi",-0.0353200848005554,-1.40864041243715,1.28024266241945
"immigrant","cpi",-0.542503617187757,-0.969608125138289,-0.112050198704321
"young","interestrate",0.79203307073346,0.576540273846249,1.01358247492525
"mid","interestrate",-0.129332806078493,-0.385782410552445,0.116639619083462
"old","interestrate",-0.168882084954981,-0.422039632099098,0.0897804460007611
"popgrowth","interestrate",-0.0578319442552468,-0.692912016496182,0.543942263861953
"immigrant","interestrate",-0.493818179699986,-0.758224830731367,-0.234242836649177
"young","unem",-0.180133227921699,-0.425981810773416,0.0589432762910114
"mid","unem",0.331712103737374,-0.0217574145431506,0.712140095608475
"old","unem",-0.2878596370073,-0.580644939251762,-0.0203637961519719
"popgrowth","unem",-0.533308053945385,-1.6776657393593,0.55311794947088
"immigrant","unem",0.136280761191624,-0.111749097572735,0.38918683213899
"young","savingrate",-0.403038461970323,-0.841117587717655,0.00311281666493556
"mid","savingrate",0.383012998172632,-0.228159136174478,0.99851272944074
"old","savingrate",0.119568737793758,-0.358747631037374,0.634364096630026
"popgrowth","savingrate",-0.183685306048918,-1.89834035361252,1.38430667136317
"immigrant","savingrate",-0.0995432739960674,-0.551409216891652,0.356141300863566
"young","inv",-0.202492136150205,-0.403806664896309,-0.0133029537989854
"mid","inv",0.379469926590606,0.0934498856817584,0.668531796085413
"old","inv",-0.0624453888908396,-0.281826697433095,0.166633571160111
"popgrowth","inv",-0.0419731600566775,-0.892328102144213,0.74756348806915
"immigrant","inv",-0.114532401549561,-0.320116949619176,0.0913677329527802
