"effect","variable","mean","lower","upper"
"young","gdp_p",0.033156920346369,-0.00588578285276628,0.0712339566790267
"mid","gdp_p",0.0833152341070381,0.0386424650748599,0.127160174686718
"old","gdp_p",-0.135254144381076,-0.174783301724121,-0.0965832208758724
"pop_g","gdp_p",0.0327876259164275,-0.183150929497164,0.267921340202381
"immigrant","gdp_p",0.018781989927669,-0.00975170022824623,0.0494065921572268
"young","cpi",0.633728513910419,0.33380694701032,0.927904290532139
"mid","cpi",-0.257437774550483,-0.568975361478118,0.0531747245209828
"old","cpi",-0.0270128518321872,-0.309134870762906,0.26458451760501
"pop_g","cpi",0.3403093745398,-0.877197327293098,1.63400009651357
"immigrant","cpi",-0.349277887527749,-0.587281113112833,-0.114957559094189
"young","interestrate",0.686261205863959,0.473724879141322,0.900638487320667
"mid","interestrate",-0.180015754444586,-0.396337371736914,0.0300559531357878
"old","interestrate",-0.136926366184282,-0.327021633612032,0.0588013665571525
"pop_g","interestrate",0.0109842575452071,-0.68883064837333,0.708487599012827
"immigrant","interestrate",-0.36931908523509,-0.543155539061509,-0.201882019877576
"young","savingrate",-0.479147526838213,-0.882003619605439,-0.116628513475094
"mid","savingrate",0.390466817296224,-0.0119519981176486,0.826892082259854
"old","savingrate",-0.202122262173982,-0.586372069456283,0.177022368406734
"pop_g","savingrate",-0.615187147102392,-2.80105543139027,1.17184661208937
"immigrant","savingrate",0.290802971715971,0.0139576531376713,0.603282706848899
"young","unem",0.121618811603859,-0.110351147332131,0.376185517913257
"mid","unem",0.0112525518485977,-0.268487344227988,0.2779076007858
"old","unem",-0.0131165477362451,-0.257820749451408,0.234414019038417
"pop_g","unem",0.535490590740471,-0.873138255251081,2.19193056863336
"immigrant","unem",-0.119754815716212,-0.318886435997716,0.0625243357858694
"young","inv",-0.270546776973315,-0.467587386346484,-0.0872906493353912
"mid","inv",0.397637369268196,0.190609509942833,0.611412661923907
"old","inv",-0.305853773215959,-0.490486468048442,-0.123250121700454
"pop_g","inv",0.036913156550421,-0.845520625795831,0.881237506517367
"immigrant","inv",0.178763180921078,0.0393578831448776,0.33177247017165
