Country.ID,Year,grgdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm
AUS,1990,0.1161894142973407,7.233,14.54333333,6.942,22.988,0.20545417929782606,0.4874205447084945,0.07618143745951401,0.23094383853416542
AUS,1991,-2.1738689441920256,3.307,10.22583333,9.608,18.349,0.2048222711757505,0.4873815408893781,0.07758861085647498,0.23020757707839637
AUS,1992,1.5502598672624934,0.969,6.465833333,10.742,19.263,0.20438396120731622,0.4868064822115153,0.07891648712709919,0.22989306945406937
AUS,1993,2.971105027446108,1.752,5.151666667,10.883,21.103,0.20392648250617523,0.4860903832333187,0.08010649604909713,0.22987663821140897
AUS,1994,3.852799381744676,1.927,5.656666667,9.717,21.604,0.20337450618268815,0.48567328382586256,0.08110324309907342,0.22984896689237594
AUS,1995,1.665934827747706,4.626,7.725833333,8.483,20.589,0.20264612812428084,0.4859093729881737,0.08191971697471692,0.22952478191282846
AUS,1996,2.7789214570073995,2.653,7.151666667,8.525,21.425,0.2014303775011701,0.48671867435168736,0.08241399386489409,0.22943695428224842
AUS,1997,3.695030529339261,0.225,5.395833333,8.367,21.759,0.20005930857549312,0.48765918239278355,0.08280201270878747,0.22947949632293588
AUS,1998,3.5767301313581745,0.859,5.001666667,7.692,21.535,0.19868397644986285,0.4886582873647377,0.0831022360139446,0.22955550017145485
AUS,1999,3.2577636723438275,1.408,5.011666667,6.867,20.557,0.19730794547070143,0.4898713277395678,0.08332996209779375,0.22949076469193702
AUS,2000,1.9040871157237849,4.457,6.1775,6.292,21.209,0.19585763386234847,0.49127728979701574,0.08360822812693666,0.2292568482136991
AUS,2001,1.3018016871114035,4.407,4.899166667,6.775,21.139,0.19384004994879278,0.4908551489656854,0.08372691692460478,0.23157788416091704
AUS,2002,2.995783047333078,3.049,4.746666667,6.358,21.466,0.19161546192962567,0.4906149186886382,0.08388960036702575,0.23388001901471037
AUS,2003,1.8636099173734653,2.731,4.895833333,5.942,21.464,0.1893537483587149,0.49042611137455877,0.08402201483396021,0.23619812543276608
AUS,2004,2.976616353420569,2.342,5.478333333,5.383,21.008,0.18716550877734,0.4901398371410883,0.08426740751098045,0.2384272465705912
AUS,2005,1.6823346059980926,2.659,5.644166667,5.033,21.703,0.1850748405108973,0.4899761708719953,0.08458670309034617,0.2403622855267612
AUS,2006,1.0479843215385642,3.554,5.988333333,4.792,21.151,0.18261196350686829,0.48602079025584505,0.08469983537844127,0.24666741085884528
AUS,2007,2.410093061972552,2.356,6.6675,4.375,21.25,0.18049444014505966,0.48266594720473216,0.0848652024165541,0.251974410233654
AUS,2008,0.3990934090563947,4.348,6.973333333,4.25,24.009,0.17857145113247583,0.4798365519976205,0.08511801160740146,0.25647398526250226
AUS,2009,0.1459189191730603,1.77,3.434166667,5.575,22.158,0.1767175575497804,0.4765709157471389,0.0858665039465848,0.2608450227564959
AUS,2010,1.001697769078702,2.863,4.683333333,5.208,23.039,0.17495611932490543,0.47205604857340694,0.08728954556789655,0.265698286533791
AUS,2011,1.189332629262485,3.356,4.848333333,5.083,23.829,0.17383917766080845,0.46867439287092516,0.0882519731625428,0.2692344563057237
AUS,2012,1.951968030529505,1.686,3.728333333,5.233,23.776,0.1732493272988456,0.46495774405797424,0.08954084262634991,0.27225208601683026
AUS,2013,0.5966646365781703,2.45,2.7775,5.658,23.806,0.17291907064001513,0.4612393456170171,0.09079615422793431,0.2750454295150334
AUS,2014,1.0884728045589709,2.513,2.6775,6.058,23.228,0.17253279483181622,0.45749014101166857,0.09194302980337372,0.2780340343531414
AUS,2015,0.8714106074073191,1.485,2.255833333,6.058,21.586,0.1721836335239992,0.4537124015606813,0.09308970744198199,0.2810142574733374
AUS,2016,1.007591168622457,1.277,1.986666667,5.717,20.762,0.1723008004574442,0.44795780001802704,0.09527915023956265,0.28446224928496605
AUS,2017,0.8339101202790467,1.995,1.74,5.6,21.806,0.17211366599101774,0.4429284237295575,0.0973766993246159,0.2875812109548089
AUS,2018,1.2085229115517793,1.933,1.948333333,5.283,21.697,0.17157887460105772,0.43805653294780855,0.09962041951487051,0.29074417293626315
AUS,2019,0.4412541425324656,1.566,1.344166667,5.175,22.843,0.17080811722016734,0.4327623737408818,0.10232292368858356,0.2941065853503673
AUS,2020,-2.376482437590788,0.869,0.256666667,6.475,24.282,0.1699611180031721,0.4257838521140884,0.10570304117214127,0.29855198871059824
AUS,2021,4.836191280679936,2.842,0.028333333,5.125,25.902,0.1687264623478953,0.4248869475150027,0.1102802418708206,0.2961063482662814
AUS,2022,1.9977280774345685,6.615,1.636666667,3.708,24.453,0.16699229374377136,0.42559257649268856,0.11407271738205106,0.293342412381489
AUS,2023,-0.3608339645696956,5.616,3.979166667,3.7,23.602,0.16508498844888408,0.4266480131430331,0.1176986278541509,0.29056837055393187
AUS,2024,0.4008746640080884,3.198,4.390833333,4.025,22.744,0.16508498844888408,0.4266480131430331,0.1176986278541509,0.29056837055393187
AUT,1990,3.656356340366451,2.777,8.964166667,2.723,25.873,0.16616268152173327,0.5951444631179559,0.13540147698627714,0.10329137837403378
AUT,1991,2.5548983747957665,3.116,9.463333333,3.151,25.402,0.16686959369045812,0.5929301907661845,0.135320092198929,0.10488012334442848
AUT,1992,0.9415368023794723,3.426,9.46,3.29,24.36,0.16829536772483808,0.5905981247303228,0.13477841593571208,0.10632809160912705
AUT,1993,-0.5393532583468086,3.234,7.023333333,3.958,23.053,0.1694615444295858,0.587872228318056,0.13463816704037326,0.10802806021198495
AUT,1994,1.805426565820034,2.711,5.1175,3.85,22.981,0.1700586849211183,0.5845702181426289,0.1351991237258532,0.11017197321039965
AUT,1995,2.4150969909293662,1.611,4.568333333,4.242,24.111,0.17004916090500238,0.5813545401906074,0.13603569365087942,0.11256060525351082
AUT,1996,2.2601284754453443,1.771,3.373333333,4.717,23.638,0.16882895802988465,0.5795424256848883,0.1366639599005868,0.11496465638464025
AUT,1997,2.0301194912582643,1.167,3.4975,4.758,23.825,0.1669771155587462,0.57852566879472,0.13710980452654825,0.11738741111998557
AUT,1998,3.3794057981905823,0.817,3.600833333,4.708,24.388,0.16492678949354359,0.5778832533649484,0.13738178099535556,0.11980817614615243
AUT,1999,3.5602311219033567,0.516,2.963488346,4.142,24.004,0.16286053383880258,0.5777246566675747,0.137294553310543,0.12212025618307977
AUT,2000,2.9416971141368986,1.956,4.39176543,3.883,25.23,0.16062605329787064,0.577945602406511,0.13706094700963242,0.12436739728598585
AUT,2001,0.9299026742961568,2.302,4.261780438,4.008,24.626,0.15847967588601797,0.5774557500047407,0.13690207290077727,0.12716250120846417
AUT,2002,0.9842413776481208,1.681,3.318601627,4.392,25.896,0.15653021513650114,0.5771687207164043,0.13652613551723095,0.1297749286298635
AUT,2003,0.6915102322084365,1.302,2.333474191,4.792,26.013,0.15481365454074936,0.5765542494880336,0.13629553682428364,0.13233655914693346
AUT,2004,1.9225162209613569,1.964,2.10632298,5.867,26.295,0.15290848182251623,0.5738209780863526,0.13856180914617752,0.13470873094495364
AUT,2005,1.625762799125785,2.102,2.184689332,6.025,26.239,0.15087855697352037,0.5691097480929049,0.1430404968062223,0.13697119812735242
AUT,2006,2.736389443237397,1.686,3.079211845,5.592,27.147,0.14850908992413875,0.56432745819069,0.1472933676271843,0.13987008425798694
AUT,2007,3.434423954549737,2.2,4.277596427,5.2,28.56,0.14594102750021934,0.5607493691659299,0.15033435169927456,0.14297525163457617
AUT,2008,1.132028820751807,3.23,4.634232681,4.433,29.224,0.1434776609264227,0.5580284750462635,0.1524204149759965,0.14607344905131736
AUT,2009,-3.8167908943845696,0.406,1.22834975,5.683,25.627,0.1412314139415682,0.5550635522273613,0.1544727000644872,0.1492323337665834
AUT,2010,1.5705212585100714,1.691,0.810953933,5.2,25.732,0.13934240886665736,0.5529526485155601,0.15529764378548636,0.1524072988322961
AUT,2011,2.5904838938505703,3.542,1.390599744,4.883,25.993,0.13743244289770257,0.550112792749429,0.15559749656570082,0.15685726778716758
AUT,2012,0.177039413414981,2.569,0.573181087,5.233,25.748,0.1357273903259891,0.5458939411388182,0.15729540570053066,0.16108326283466212
