Country.ID,INDICATOR,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,interestrate,14.54333333,10.22583333,6.465833333,5.151666667,5.656666667,7.725833333,7.151666667,5.395833333,5.001666667,5.011666667,6.1775,4.899166667,4.746666667,4.895833333,5.478333333,5.644166667,5.988333333,6.6675,6.973333333,3.434166667,4.683333333,4.848333333,3.728333333,2.7775,2.6775,2.255833333,1.986666667,1.74,1.948333333,1.344166667,0.256666667,0.028333333,1.636666667,3.979166667,4.390833333
AUT,interestrate,8.964166667,9.463333333,9.46,7.023333333,5.1175,4.568333333,3.373333333,3.4975,3.600833333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
BEL,interestrate,9.633333333,9.3825,9.370833333,8.224166667,5.695,4.783333333,3.216666667,3.436666667,3.558333333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
CAN,interestrate,13.02129167,9.110208333,6.677083333,5.102958333,5.487708333,7.130799183,4.449063673,3.557644557,5.06840368,4.915108186,5.442333333,3.859166667,2.514625,2.858416667,2.219,2.695166667,4.009458333,4.142,2.336875,0.331541667,0.561791667,0.911666667,0.941583333,0.966166667,0.909708333,0.527458333,0.486541667,0.688083333,1.373583333,1.655625,0.451458333,0.113041667,2.177791667,4.740916667,4.366375
CHE,interestrate,8.8346,8.119991667,7.78,4.817433333,4.044125,2.951608333,1.920358333,1.579625,1.434916667,1.295275,2.940906639,2.813803106,1.049703189,0.215319272,0.37747745,0.712353827,1.411712857,2.34283764,1.841202637,0.093643937,0.150082827,0.057504212,-0.061721096,-0.047170994,0.001120527,-0.724724753,-0.768297617,-0.847818483,-0.806276469,-0.773305397,-0.697590669,-0.735514985,-0.177431261,1.521064402,1.241340192
CHL,interestrate,,,,,,,12.46,16.76,16.41208333,10.955,10.7575,7.233333333,3.925,2.7675,1.83,3.530833333,4.825833333,5.179166667,7.236666667,1.746666667,2.07,4.93625,5.12,4.75,4.11,3,3.528888889,2.516111111,2.657916667,2.678333333,1.41,1.836666667,9.211666667,11.25,7.24
DEU,interestrate,8.488333333,9.246666667,9.5175,7.295,5.364166667,4.531666667,3.305,3.325,3.544166667,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
DNK,interestrate,11.17800524,9.918040743,11.69775898,10.86824211,6.302277964,6.20278294,3.983448902,3.731127724,4.272079069,3.437818813,4.997200789,4.702664261,3.543718946,2.423353694,2.195047156,2.224244653,3.180477092,4.441651643,5.262556544,2.499273967,1.248442283,1.383979445,0.620019506,0.27136044,0.314957823,-0.123318838,-0.144246122,-0.263757907,-0.299244289,-0.371996934,-0.240562448,-0.230067432,0.61551601,3.503739655,3.495989614
ESP,interestrate,15.15158333,13.22675,13.342,11.68808333,8.0085,9.355166667,7.495,5.373333333,4.242,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
FIN,interestrate,13.99666667,13.07916667,13.25166667,7.773333333,5.35,5.75,3.625,3.231666667,3.568333333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
FRA,interestrate,10.3214,9.615025,10.34461667,8.586858333,5.846675,6.578183333,3.935625,3.462833333,3.557108333,2.963488346,4.39176543,4.261780438,3.318601627,2.333474191,2.10632298,2.184689332,3.079211845,4.277596427,4.634232681,1.22834975,0.810953933,1.390599744,0.573181087,0.220661223,0.209945672,-0.019375701,-0.263695659,-0.329056116,-0.322092958,-0.35631935,-0.425159625,-0.548756293,0.341555419,3.430800561,3.57091273
